EPOCH=171, Accuracy=89.700%, Adv_Accuracy=79.600%, FGSM_Accuracy=62.850%, PGD_Accuracy=63.2000%
EPOCH=172, Accuracy=89.500%, Adv_Accuracy=79.500%, FGSM_Accuracy=67.770%, PGD_Accuracy=67.8400%
EPOCH=173, Accuracy=89.680%, Adv_Accuracy=78.500%, FGSM_Accuracy=63.130%, PGD_Accuracy=64.2700%
EPOCH=174, Accuracy=89.740%, Adv_Accuracy=80.300%, FGSM_Accuracy=64.670%, PGD_Accuracy=66.3000%
EPOCH=175, Accuracy=89.630%, Adv_Accuracy=78.400%, FGSM_Accuracy=67.250%, PGD_Accuracy=67.4900%
EPOCH=176, Accuracy=89.340%, Adv_Accuracy=79.900%, FGSM_Accuracy=63.080%, PGD_Accuracy=64.2800%
EPOCH=177, Accuracy=89.530%, Adv_Accuracy=80.700%, FGSM_Accuracy=61.030%, PGD_Accuracy=61.8200%
EPOCH=178, Accuracy=89.490%, Adv_Accuracy=78.500%, FGSM_Accuracy=64.520%, PGD_Accuracy=64.9400%
EPOCH=179, Accuracy=89.770%, Adv_Accuracy=79.600%, FGSM_Accuracy=63.650%, PGD_Accuracy=64.2700%
EPOCH=180, Accuracy=89.230%, Adv_Accuracy=78.300%, FGSM_Accuracy=66.220%, PGD_Accuracy=66.5300%
EPOCH=181, Accuracy=89.250%, Adv_Accuracy=78.000%, FGSM_Accuracy=65.990%, PGD_Accuracy=66.2700%
EPOCH=182, Accuracy=88.910%, Adv_Accuracy=78.400%, FGSM_Accuracy=63.740%, PGD_Accuracy=65.0800%
EPOCH=183, Accuracy=89.550%, Adv_Accuracy=79.800%, FGSM_Accuracy=62.510%, PGD_Accuracy=62.8800%
EPOCH=184, Accuracy=89.360%, Adv_Accuracy=79.900%, FGSM_Accuracy=64.480%, PGD_Accuracy=65.3100%
EPOCH=185, Accuracy=89.780%, Adv_Accuracy=79.600%, FGSM_Accuracy=64.720%, PGD_Accuracy=65.1300%
EPOCH=186, Accuracy=89.340%, Adv_Accuracy=79.200%, FGSM_Accuracy=64.410%, PGD_Accuracy=64.3000%
EPOCH=187, Accuracy=89.360%, Adv_Accuracy=78.600%, FGSM_Accuracy=63.200%, PGD_Accuracy=63.5200%
EPOCH=188, Accuracy=89.410%, Adv_Accuracy=78.900%, FGSM_Accuracy=61.030%, PGD_Accuracy=61.8100%
EPOCH=189, Accuracy=89.500%, Adv_Accuracy=78.400%, FGSM_Accuracy=60.280%, PGD_Accuracy=61.2000%
EPOCH=190, Accuracy=89.210%, Adv_Accuracy=78.200%, FGSM_Accuracy=62.710%, PGD_Accuracy=63.6200%
EPOCH=191, Accuracy=89.720%, Adv_Accuracy=79.100%, FGSM_Accuracy=63.090%, PGD_Accuracy=63.5000%
EPOCH=192, Accuracy=89.000%, Adv_Accuracy=78.000%, FGSM_Accuracy=64.590%, PGD_Accuracy=65.3500%
EPOCH=193, Accuracy=89.590%, Adv_Accuracy=78.200%, FGSM_Accuracy=64.440%, PGD_Accuracy=65.0300%
EPOCH=194, Accuracy=89.400%, Adv_Accuracy=78.600%, FGSM_Accuracy=65.690%, PGD_Accuracy=65.3500%
EPOCH=195, Accuracy=89.060%, Adv_Accuracy=78.600%, FGSM_Accuracy=60.750%, PGD_Accuracy=60.9800%
EPOCH=196, Accuracy=88.680%, Adv_Accuracy=77.300%, FGSM_Accuracy=65.190%, PGD_Accuracy=66.0300%
EPOCH=197, Accuracy=89.240%, Adv_Accuracy=78.100%, FGSM_Accuracy=63.160%, PGD_Accuracy=63.5600%
EPOCH=198, Accuracy=89.230%, Adv_Accuracy=78.500%, FGSM_Accuracy=62.470%, PGD_Accuracy=62.2300%
EPOCH=199, Accuracy=89.320%, Adv_Accuracy=79.400%, FGSM_Accuracy=66.050%, PGD_Accuracy=66.3800%
EPOCH=200, Accuracy=89.010%, Adv_Accuracy=78.900%, FGSM_Accuracy=63.980%, PGD_Accuracy=64.0400%
