EPOCH=161, Accuracy=80.470%, Adv_Accuracy=75.000%
EPOCH=162, Accuracy=79.830%, Adv_Accuracy=76.100%
EPOCH=163, Accuracy=80.060%, Adv_Accuracy=74.900%
EPOCH=164, Accuracy=79.920%, Adv_Accuracy=74.500%
EPOCH=165, Accuracy=79.960%, Adv_Accuracy=75.700%
EPOCH=166, Accuracy=80.440%, Adv_Accuracy=75.100%
EPOCH=167, Accuracy=79.490%, Adv_Accuracy=74.500%
EPOCH=168, Accuracy=80.090%, Adv_Accuracy=75.800%
EPOCH=169, Accuracy=79.890%, Adv_Accuracy=75.700%
EPOCH=170, Accuracy=79.870%, Adv_Accuracy=75.600%
EPOCH=171, Accuracy=80.020%, Adv_Accuracy=76.200%
EPOCH=172, Accuracy=79.770%, Adv_Accuracy=74.000%
EPOCH=173, Accuracy=79.780%, Adv_Accuracy=75.200%
EPOCH=174, Accuracy=79.420%, Adv_Accuracy=74.200%
EPOCH=175, Accuracy=80.160%, Adv_Accuracy=76.800%
EPOCH=176, Accuracy=80.020%, Adv_Accuracy=75.500%
EPOCH=177, Accuracy=79.170%, Adv_Accuracy=73.700%
EPOCH=178, Accuracy=79.640%, Adv_Accuracy=74.100%
EPOCH=179, Accuracy=80.760%, Adv_Accuracy=76.700%
EPOCH=180, Accuracy=79.280%, Adv_Accuracy=75.000%
EPOCH=181, Accuracy=79.260%, Adv_Accuracy=75.700%
EPOCH=182, Accuracy=79.580%, Adv_Accuracy=74.200%
EPOCH=183, Accuracy=79.720%, Adv_Accuracy=75.700%
EPOCH=184, Accuracy=80.440%, Adv_Accuracy=75.400%
EPOCH=185, Accuracy=80.370%, Adv_Accuracy=74.700%
EPOCH=186, Accuracy=79.940%, Adv_Accuracy=74.600%
EPOCH=187, Accuracy=80.270%, Adv_Accuracy=74.800%
EPOCH=188, Accuracy=79.700%, Adv_Accuracy=74.400%
EPOCH=189, Accuracy=79.580%, Adv_Accuracy=74.900%
EPOCH=190, Accuracy=79.400%, Adv_Accuracy=73.900%
